,LC,DC,Y,M,LC_AD,LC_AL,LC_AM,LC_AT,LC_AZ,LC_BA,LC_BE,LC_BG,LC_BY,LC_CH,LC_CY,LC_CZ,LC_DE,LC_DK,LC_EE,LC_ES,LC_FI,LC_FR,LC_GB,LC_GE,LC_GR,LC_HR,LC_HU,LC_IE,LC_IS,LC_IT,LC_KZ,LC_LT,LC_LU,LC_LV,LC_MD,LC_ME,LC_MK,LC_NL,LC_NO,LC_PL,LC_PT,LC_RO,LC_RS,LC_RU,LC_SE,LC_SI,LC_SK,LC_TR,LC_UA,DC_AD,DC_AL,DC_AM,DC_AT,DC_AZ,DC_BA,DC_BE,DC_BG,DC_BY,DC_CH,DC_CY,DC_CZ,DC_DE,DC_DK,DC_EE,DC_ES,DC_FI,DC_FR,DC_GB,DC_GE,DC_GR,DC_HR,DC_HU,DC_IE,DC_IS,DC_IT,DC_KZ,DC_LT,DC_LU,DC_LV,DC_MD,DC_ME,DC_MK,DC_NL,DC_NO,DC_PL,DC_PT,DC_RO,DC_RS,DC_RU,DC_SE,DC_SI,DC_SK,DC_TR,DC_UA,YM,January,February,March,April,May,June,July,August,September,October,Novemer,December,2019,2020,2021,2022,2023,D
32,PL,GR,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.395912651155735
33,PL,IS,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.181574978573138
34,PL,TR,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.267934333835857
35,PL,PT,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.646373060093063
36,PL,CY,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.404348114797888
37,PL,KZ,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.012235527533872
38,PL,RU,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.0982788646192
39,PL,BY,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.924280447824193
40,PL,AZ,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.389094385418795
41,PL,GE,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.993880585954526
